x,y
0.81816,0.1302
0.81659,0.13163
0.81502,0.13295
0.81345,0.13421
0.81188,0.13531
0.81031,0.13639
0.80874,0.13755
0.80717,0.1387
0.8056,0.13996
0.80403,0.14125
0.80246,0.14254
0.80089,0.14382
0.79932,0.1452
0.79775,0.14656
0.79618,0.14787
0.79461,0.14914
0.79304,0.15039
0.79147,0.15164
0.7899,0.15287
0.78833,0.15413
0.78676,0.15545
0.78518,0.15678
0.78362,0.15805
0.78204,0.15925
0.78048,0.16046
0.7789,0.16176
0.77733,0.16309
0.77576,0.16457
0.77419,0.16598
0.77262,0.16741
0.77105,0.16883
0.76948,0.17017
0.7679,0.17144
0.76634,0.17252
0.76476,0.1736
0.7632,0.17471
0.76162,0.17598
0.76006,0.17729
0.75848,0.17876
0.75691,0.18026
0.75534,0.18181
0.75377,0.18326
0.7522,0.18464
0.75063,0.18593
0.74905,0.1872
0.74749,0.1885
0.74591,0.18972
0.74435,0.19103
0.74277,0.1923
0.74119,0.19359
0.73963,0.19493
0.73805,0.19636
0.73649,0.19781
0.73491,0.19922
0.73334,0.20063
0.73177,0.20205
0.7302,0.20348
0.72862,0.20483
0.72706,0.20614
0.72548,0.20747
0.72392,0.20884
0.72234,0.21021
0.72077,0.21155
0.7192,0.21286
0.71763,0.21426
0.71605,0.21558
0.71449,0.21694
0.71291,0.21826
0.71134,0.21969
0.70977,0.22114
0.7082,0.22257
0.70662,0.22397
0.70506,0.2254
0.70348,0.22683
0.7019,0.22826
0.70034,0.22972
0.69876,0.23106
0.69719,0.2326
0.69562,0.23407
0.69405,0.2355
0.69247,0.23694
0.6909,0.23838
0.68933,0.23983
0.68776,0.24124
0.68618,0.24257
0.68461,0.24388
0.68304,0.24523
0.68147,0.24661
0.67989,0.24805
0.67833,0.24948
0.67675,0.25092
0.67518,0.25229
0.6736,0.2538
0.67203,0.25531
0.67046,0.25684
0.66889,0.25843
0.66731,0.26
0.66573,0.26152
0.66417,0.26291
0.66259,0.26425
0.66102,0.2656
0.65944,0.26707
0.65787,0.26862
0.6563,0.27017
0.65473,0.27172
0.65315,0.27323
0.65158,0.2747
0.65,0.27614
0.64843,0.27745
0.64686,0.27877
0.64529,0.28018
0.64371,0.28168
0.64214,0.28319
0.64056,0.28476
0.63899,0.28637
0.63741,0.28808
0.63584,0.28974
0.63426,0.29129
0.63269,0.29285
0.63112,0.29448
0.62954,0.29599
0.62797,0.29755
0.62639,0.29905
0.62482,0.30063
0.62324,0.30203
0.62167,0.30347
0.62009,0.30488
0.61852,0.30619
0.61694,0.3076
0.61537,0.30908
0.61379,0.31061
0.61222,0.31216
0.61064,0.31375
0.60907,0.31541
0.60749,0.31703
0.60592,0.31872
0.60434,0.3203
0.60277,0.32191
0.60119,0.32352
0.59961,0.32516
0.59804,0.32665
0.59646,0.32816
0.59489,0.32956
0.59331,0.331
0.59174,0.33241
0.59016,0.33388
0.58858,0.33535
0.587,0.33699
0.58543,0.33862
0.58385,0.34034
0.58228,0.342
0.5807,0.34351
0.57913,0.34494
0.57755,0.34644
0.57597,0.34797
0.57439,0.34953
0.57282,0.35102
0.57124,0.35264
0.56966,0.35423
0.56809,0.35579
0.5665,0.35727
0.56493,0.35898
0.56335,0.3608
0.56178,0.36265
0.56019,0.36424
0.55862,0.36582
0.55704,0.36728
0.55547,0.36872
0.55388,0.37017
0.55231,0.37184
0.55073,0.37332
0.54916,0.37477
0.54757,0.37617
0.546,0.37763
0.54442,0.37912
0.54283,0.38071
0.54126,0.38238
0.53968,0.38418
0.5381,0.38579
0.53652,0.38731
0.53494,0.38869
0.53336,0.39027
0.53179,0.39181
0.5302,0.39352
0.52863,0.39525
0.52704,0.39703
0.52547,0.39872
0.52389,0.40042
0.52231,0.40212
0.52073,0.40404
0.51915,0.40579
0.51757,0.40757
0.51599,0.40917
0.51441,0.41081
0.51282,0.41232
0.51125,0.41391
0.50966,0.41544
0.50809,0.41717
0.5065,0.41871
0.50492,0.42023
0.50334,0.42176
0.50176,0.42346
0.50018,0.42518
0.4986,0.42691
0.49702,0.42873
0.49544,0.43064
0.49385,0.43238
0.49228,0.43433
0.49069,0.436
0.4891,0.43754
0.48753,0.43895
0.48594,0.44029
0.48436,0.44187
0.48278,0.44367
0.4812,0.44556
0.47961,0.44734
0.47804,0.44902
0.47645,0.45079
0.47487,0.45256
0.47328,0.45453
0.47171,0.4568
0.47012,0.45897
0.46854,0.46058
0.46695,0.462
0.46537,0.46344
0.46379,0.46528
0.4622,0.46719
0.46062,0.46905
0.45903,0.47063
0.45745,0.47231
0.45586,0.47366
0.45429,0.47527
0.4527,0.47687
0.45112,0.47869
0.44953,0.48019
0.44795,0.482
0.44636,0.48387
0.44478,0.48614
0.44319,0.48819
0.44161,0.49015
0.44002,0.49153
0.43843,0.49334
0.43685,0.49527
0.43526,0.4974
0.43368,0.49923
0.43209,0.5013
0.43051,0.50318
0.42892,0.50527
0.42734,0.507
0.42575,0.50882
0.42417,0.51031
0.42257,0.51196
0.42099,0.51349
0.4194,0.51573
0.41781,0.51789
0.41623,0.52026
0.41464,0.52227
0.41305,0.52402
0.41146,0.52545
0.40988,0.52686
0.40829,0.52869
0.4067,0.53079
0.40511,0.53325
0.40353,0.53594
0.40194,0.53792
0.40035,0.5406
0.39876,0.54216
0.39718,0.54369
0.39558,0.54525
0.39399,0.54816
0.39241,0.55078
0.39081,0.55404
0.38923,0.55609
0.38763,0.55875
0.38605,0.56117
0.38446,0.56389
0.38287,0.56649
0.38128,0.57006
0.37969,0.573
0.3781,0.57606
0.37651,0.57923
0.37492,0.58272
0.37332,0.58563
0.37174,0.58865
0.37014,0.59071
0.36855,0.59367
0.36696,0.59634
0.36537,0.59981
0.36378,0.60202
0.36219,0.60593
0.36059,0.60952
0.35901,0.61404
0.35741,0.61806
0.35581,0.62375
0.35423,0.62848
0.35263,0.63378
0.35104,0.63809
0.34944,0.6444
0.34786,0.64934
0.34626,0.65452
0.34467,0.65953
0.34307,0.66681
0.34148,0.67319
0.33988,0.679
0.3383,0.68345
0.3367,0.69061
0.3351,0.69641
0.33351,0.70264
0.33191,0.70918
0.33032,0.71883
0.32872,0.72679
0.32713,0.73555
0.32553,0.74363
0.32394,0.75572
0.32234,0.7656
0.32075,0.77637
0.31915,0.78517
0.31755,0.79727
0.31596,0.80894
0.31436,0.82089
0.31277,0.83266
0.31116,0.84723
0.30957,0.86182
0.30797,0.87534
0.30638,0.88706
0.30478,0.90247
0.30318,0.91771
0.30158,0.93345
0.29998,0.94697
0.29839,0.96505
0.29678,0.98265
0.29519,0.99972
0.29359,1.0144
0.29199,1.0344
0.29039,1.0531
0.2888,1.0725
0.28719,1.0893
0.2856,1.1096
0.28399,1.1283
0.28239,1.1482
0.28079,1.1678
0.27919,1.1918
0.27759,1.2131
0.27599,1.2365
0.27439,1.2577
0.27279,1.2818
0.27119,1.3051
0.26959,1.3273
0.26798,1.3472
0.26638,1.3702
0.26478,1.3917
0.26318,1.4115
0.26157,1.4275
0.25998,1.4482
0.25837,1.468
0.25677,1.486
0.25516,1.4998
0.25357,1.5163
0.25196,1.531
0.25035,1.544
0.24875,1.5541
0.24714,1.5648
0.24554,1.5735
0.24393,1.5821
0.24233,1.5886
0.24072,1.5965
0.23912,1.6025
0.23751,1.6076
0.2359,1.6121
0.2343,1.6163
0.23269,1.6205
0.23109,1.6235
0.22948,1.625
0.22788,1.6265
0.22627,1.6275
0.22467,1.6278
0.22305,1.6276
0.22144,1.6276
0.21984,1.6272
0.21823,1.6263
0.21663,1.6251
0.21502,1.6236
0.21342,1.6218
0.21181,1.6198
0.21021,1.6178
0.20889,1.6159
0.20759,1.6141
0.20628,1.6122
0.20496,1.6106
0.20366,1.6091
0.20235,1.6078
0.20105,1.6066
0.19974,1.6055
0.19844,1.6046
0.19715,1.6038
0.19585,1.6032
0.19455,1.6027
0.19326,1.6023
0.19197,1.602
0.19067,1.6017
0.18937,1.6015
0.18809,1.6013
0.1868,1.6012
0.18552,1.601
0.18423,1.6008
0.18295,1.6005
0.18167,1.6002
0.18039,1.5999
0.1791,1.5996
0.17782,1.5992
0.17655,1.5988
0.17528,1.5984
0.17399,1.5981
0.17273,1.5977
0.17146,1.5974
0.17019,1.5971
0.16892,1.5968
0.16765,1.5966
0.16638,1.5964
0.16512,1.5963
0.16386,1.5963
0.16259,1.5963
0.16134,1.5964
0.16008,1.5965
0.15882,1.5966
0.15757,1.5968
0.15631,1.597
0.15506,1.5972
0.15381,1.5974
0.15256,1.5975
0.15132,1.5977
0.15006,1.5979
0.14882,1.598
0.14758,1.5982
0.14634,1.5983
0.14511,1.5984
0.14386,1.5984
0.14262,1.5985
0.14139,1.5986
0.14016,1.5987
0.13892,1.5987
0.13769,1.5988
0.13646,1.5989
0.13524,1.599
0.13402,1.5991
0.13279,1.5993
0.13156,1.5995
0.13034,1.5996
0.12912,1.5999
0.12791,1.6002
0.1267,1.6003
0.12549,1.6006
0.12427,1.6009
0.12306,1.6012
0.12185,1.6016
0.12065,1.6019
0.11944,1.6023
0.11824,1.6026
0.11703,1.6029
0.11583,1.6033
0.11463,1.6037
0.11344,1.6041
0.11225,1.6045
0.11106,1.6048
0.10986,1.6053
0.10867,1.6057
0.10748,1.6061
0.1063,1.6066
0.10511,1.6071
0.10394,1.6076
0.10276,1.6082
0.10158,1.6086
0.1004,1.6093
0.099231,1.6098
0.09806,1.6104
0.096889,1.6111
0.095716,1.6118
0.094553,1.6125
0.09339,1.6132
0.092227,1.614
0.091064,1.6148
0.089911,1.6157
0.088757,1.6166
0.087604,1.6175
0.08645,1.6185
0.085303,1.6195
0.084156,1.6206
0.083009,1.6217
0.081863,1.6229
0.080725,1.6241
0.079588,1.6254
0.07845,1.6268
0.077313,1.6282
0.076186,1.6296
0.075059,1.6312
0.073933,1.6329
0.072807,1.6347
0.071689,1.6365
0.07057,1.6386
0.069452,1.6407
0.068335,1.6429
0.067225,1.6451
0.066117,1.6476
0.065009,1.6502
0.063901,1.653
0.062804,1.6559
0.061706,1.6591
0.06061,1.6624
0.059514,1.6659
0.058428,1.6696
0.057344,1.6736
0.056259,1.6778
0.055176,1.6823
0.054101,1.687
0.053028,1.692
0.051955,1.6974
0.050883,1.7031
0.049822,1.7092
0.048762,1.7158
0.047702,1.7227
0.046644,1.7301
0.045596,1.738
0.04455,1.7465
0.043505,1.7555
0.042461,1.765
0.041428,1.775
0.040397,1.7856
0.039367,1.7969
0.038339,1.8088
0.037322,1.8212
0.036306,1.8344
0.035293,1.8481
0.034282,1.8627
0.033283,1.8776
0.032286,1.8932
0.031293,1.9095
0.030301,1.9265
0.029323,1.9438
0.028347,1.9617
0.027375,1.9802
0.026404,1.9995
0.025449,2.0191
0.024496,2.0392
0.023547,2.0598
0.0226,2.0813
0.021669,2.1031
0.020741,2.1252
0.019818,2.148
0.018899,2.1722
0.017996,2.1953
0.017099,2.2185
0.016209,2.2418
0.015324,2.266
0.01446,2.2901
0.013601,2.3137
0.012751,2.3378
0.011909,2.3626
0.011086,2.3883
0.010273,2.4137
0.0094694,2.44
0.0086767,2.4664
0.0079093,2.4921
0.007158,2.5149
0.0064239,2.5354
0.0057049,2.5497
0.0050179,2.5693
0.0043537,2.5832
0.0037129,2.595
0.0030954,2.6124
0.0025196,2.6318
0.0019835,2.6289
0.001487,2.6254
0.0010302,2.6727
0.00063555,2.7146
0.00033232,2.5495
0.00012047,2.3274
1.4036e-05,1.5832
0.0,2.24
0.00013218,1.0786
0.00035443,0.61786
0.00068079,0.17536
