x,y
0.55275,-0.16786
0.55671,-0.16786
0.56067,-0.16786
0.56463,-0.16786
0.56858,-0.16429
0.57255,-0.16429
0.57651,-0.16429
0.58047,-0.16429
0.58443,-0.16429
0.58839,-0.16071
0.59234,-0.16071
0.59629,-0.16071
0.60025,-0.16071
0.6042,-0.16071
0.60816,-0.16071
0.6121,-0.16071
0.61604,-0.15714
0.61999,-0.15714
0.62393,-0.15714
0.62787,-0.15714
0.6318,-0.15714
0.63572,-0.15714
0.63966,-0.15714
0.64358,-0.15714
0.64749,-0.15357
0.65141,-0.15357
0.65532,-0.15357
0.65922,-0.15357
0.66312,-0.15357
0.66702,-0.15357
0.67091,-0.15357
0.67479,-0.15357
0.67867,-0.15357
0.68255,-0.15357
0.68642,-0.15357
0.69027,-0.15357
0.69412,-0.15255
0.69798,-0.15
0.70182,-0.15
0.70565,-0.15
0.70947,-0.15
0.71328,-0.15
0.71711,-0.15
0.7209,-0.15
0.72469,-0.15
0.72847,-0.15
0.73227,-0.15
0.73601,-0.15
0.73977,-0.15
0.74352,-0.15
0.74727,-0.15
0.75099,-0.15
0.7547,-0.15
0.75841,-0.15
0.76213,-0.15
0.76579,-0.14643
0.76946,-0.14643
0.77312,-0.14643
0.7768,-0.14643
0.78041,-0.14643
0.78404,-0.14643
0.78765,-0.14643
0.79128,-0.14643
0.79484,-0.14643
0.79842,-0.14643
0.80198,-0.14643
0.80555,-0.14643
0.80906,-0.14286
0.81258,-0.14286
0.81609,-0.14286
0.8196,-0.14286
0.82306,-0.14286
0.8265,-0.14286
0.82995,-0.14286
0.83341,-0.14286
0.83679,-0.14286
0.84018,-0.13929
0.84357,-0.13929
0.84696,-0.13929
0.85027,-0.13929
0.85359,-0.13929
0.8569,-0.13929
0.86023,-0.13929
0.86347,-0.13571
0.86671,-0.13571
0.86995,-0.13571
0.87319,-0.13571
0.87635,-0.13571
0.87951,-0.13214
0.88267,-0.13214
0.88583,-0.13214
0.88891,-0.13214
0.89198,-0.13214
0.89506,-0.12857
0.89814,-0.12857
0.90112,-0.12857
0.9041,-0.12857
0.90709,-0.125
0.91007,-0.125
0.91296,-0.125
0.91585,-0.125
0.91872,-0.12143
0.92161,-0.12143
0.92439,-0.12143
0.92717,-0.11786
0.92994,-0.11786
0.93272,-0.11429
0.93538,-0.11429
0.93805,-0.11429
0.94072,-0.11071
0.94337,-0.11071
0.94592,-0.10714
0.94845,-0.10714
0.951,-0.10357
0.95353,-0.10357
0.95593,-0.1
0.95834,-0.099271
0.96074,-0.096429
0.96314,-0.092857
0.96541,-0.092055
0.96766,-0.089286
0.96991,-0.085714
0.97216,-0.082143
0.97425,-0.079738
0.97634,-0.078207
0.97843,-0.075
0.98052,-0.07121
0.98241,-0.06742
0.98431,-0.063338
0.98621,-0.058382
0.9881,-0.053571
0.98977,-0.05
0.99144,-0.045991
0.9931,-0.03965
0.99477,-0.034985
0.99608,-0.030831
0.99738,-0.023688
0.9987,-0.011079
